district,meeting_date,meeting_name,meeting_id,url
Taylor County School District,2020-07-21,"Regular School Board Meeting, Public Hearing and Executive Session",BRHQV26B14D0,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BRHQV26B14D0
Taylor County School District,2020-07-28,"Regular School Board Meeting, Public Hearing and Executive Session",BRQPYS662580,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BRQPYS662580
Taylor County School District,2020-08-04,Regular School Board Meeting and Executive Session,BRXP4F61B5AC,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BRXP4F61B5AC
Taylor County School District,2020-08-17,Regular School Board Meeting and Executive Session,BSCPC363C610,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BSCPC363C610
Taylor County School District,2020-08-27,Emergency School Board Meeting,BSSMZM5DB11E,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BSSMZM5DB11E
Taylor County School District,2020-09-01,"Regular School Board Meeting, Public Hearing, Closed Hearing and Executive Session",BSTJ2K495088,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BSTJ2K495088
Taylor County School District,2020-09-15,"Regular School Board Meeting, Public Hearing and Executive Session",BT9NGA5FD5FE,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BT9NGA5FD5FE
Taylor County School District,2020-10-06,"Regular School Board Meeting, Closed Hearing and Executive Session",BTWLQ7569EC9,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BTWLQ7569EC9
Taylor County School District,2020-10-20,"Regular School Board Meeting, Closed Hearing and Executive Session",BUCJVV4F143D,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BUCJVV4F143D
Taylor County School District,2020-11-03,Regular School Board Meeting and Executive Session,BUSJR24DF06B,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BUSJR24DF06B
Taylor County School District,2020-11-17,"Swearing In, Legal Meeting, Organizational Meeting, Regular School Board Meeting and Executive Session",BV4NXH598ABE,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BV4NXH598ABE
Taylor County School District,2020-12-15,Regular School Board Meeting and Executive Session,BW4QRD676730,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BW4QRD676730
Taylor County School District,2021-01-19,"Legal Meeting, Regular School Board Meeting and Executive Session",BX7S3E5033D9,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BX7S3E5033D9
Taylor County School District,2021-01-25,Regular School Board Meeting,BXHMJ35AE5AD,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BXHMJ35AE5AD
Taylor County School District,2021-02-02,Regular School Board Meeting and Executive Session,BXMRBB6D2C5E,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BXMRBB6D2C5E
Taylor County School District,2021-02-16,Regular School Board Meeting and Executive Session,BY2RYE6F7337,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BY2RYE6F7337
Taylor County School District,2021-03-02,Regular School Board Meeting and Executive Session,BYHKCJ5122BA,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BYHKCJ5122BA
Taylor County School District,2021-04-06,"Legal Meeting, Regular School Board Meeting and Executive Session",BZLL8K555587,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=BZLL8K555587
Taylor County School District,2021-04-20,Regular School Board Meeting and Executive Session,C22KFC50C577,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C22KFC50C577
Taylor County School District,2021-05-04,"Regular School Board Meeting, Public Hearing and Executive Session",C2GNYG6091D2,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C2GNYG6091D2
Taylor County School District,2021-05-18,Regular School Board Meeting and Executive Session,C2WHU4454CD2,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C2WHU4454CD2
Taylor County School District,2021-06-15,Regular School Board Meeting and Executive Session,C3SN9N5E656F,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C3SN9N5E656F
Taylor County School District,2021-06-29,"Regular School Board Meeting, Public Hearing and Executive Session",C47RLV6E92BD,https://go.boarddocs.com/fl/taylor/Board.nsf/Download-AgendaDetailed?open&id=C47RLV6E92BD
